word,r,g,b
A,90,54,215
B,49,238,166
C,52,104,99
D,162,91,29
E,182,213,197
F,197,227,229
G,3,98,204
H,211,133,100
I,232,239,173
J,182,156,103
K,109,172,238
L,182,60,110
M,129,253,224
N,76,109,169
O,5,142,34
P,152,28,235
Q,35,171,77
R,6,206,9
S,136,132,154
T,213,101,1
U,86,228,32
V,197,142,34
W,180,67,14
X,108,63,226
Y,123,234,98
Z,229,163,145
end,182,213,197
ill,232,239,173
mood,129,253,224
has,211,133,100
milk,129,253,224
six,136,132,154
blue,49,238,166
son,136,132,154
rose,6,206,9
girl,3,98,204
cat,52,104,99
else,182,213,197
weak,180,67,14
real,6,206,9
fish,197,227,229
east,182,213,197
hold,211,133,100
too,213,101,1
mile,129,253,224
firm,197,227,229
use,86,228,32
jack,182,156,103
stay,136,132,154
gas,3,98,204
life,182,60,110
eye,182,213,197
give,3,98,204
ran,6,206,9
her,211,133,100
tax,213,101,1
pour,152,28,235
day,162,91,29
hope,211,133,100
kept,109,172,238
bet,49,238,166
long,182,60,110
city,52,104,99
song,136,132,154
why,180,67,14
dark,162,91,29
band,49,238,166
we,180,67,14
pain,152,28,235
toy,213,101,1
have,211,133,100
left,182,60,110
park,152,28,235
get,3,98,204
lost,182,60,110
sink,136,132,154
seen,136,132,154
to,213,101,1
fact,197,227,229
time,213,101,1
pen,152,28,235
buy,49,238,166
room,6,206,9
won,180,67,14
face,197,227,229
poor,152,28,235
suit,136,132,154
fire,197,227,229
zulu,229,163,145
it,232,239,173
law,182,60,110
nose,76,109,169
even,182,213,197
ago,90,54,215
nice,76,109,169
pull,152,28,235
on,5,142,34
over,5,142,34
neck,76,109,169
able,90,54,215
wing,180,67,14
free,197,227,229
at,90,54,215
some,136,132,154
ten,213,101,1
past,152,28,235
cry,52,104,99
home,211,133,100
pack,152,28,235
salt,136,132,154
iron,232,239,173
wild,180,67,14
ask,90,54,215
bar,49,238,166
pine,152,28,235
age,90,54,215
cage,52,104,99
horn,211,133,100
do,162,91,29
bush,49,238,166
same,136,132,154
due,162,91,29
new,76,109,169
met,129,253,224
wire,180,67,14
very,197,142,34
for,197,227,229
type,213,101,1
old,5,142,34
she,136,132,154
went,180,67,14
out,5,142,34
drew,162,91,29
seed,136,132,154
sand,136,132,154
feel,197,227,229
knew,109,172,238
are,90,54,215
oil,5,142,34
meat,129,253,224
bank,49,238,166
good,3,98,204
dirt,162,91,29
wore,180,67,14
fell,197,227,229
corn,52,104,99
idea,232,239,173
arm,90,54,215
gold,3,98,204
red,6,206,9
roll,6,206,9
held,211,133,100
dear,162,91,29
such,136,132,154
care,52,104,99
most,129,253,224
talk,213,101,1
dish,162,91,29
thy,213,101,1
fort,197,227,229
each,182,213,197
push,152,28,235
fun,197,227,229
warn,180,67,14
like,182,60,110
cool,52,104,99
sale,136,132,154
land,182,60,110
dust,162,91,29
verb,197,142,34
sky,136,132,154
dry,162,91,29
trap,213,101,1
not,76,109,169
tiny,213,101,1
gift,3,98,204
wish,180,67,14
keep,109,172,238
live,182,60,110
jet,182,156,103
make,129,253,224
pet,152,28,235
rain,6,206,9
wear,180,67,14
me,129,253,224
row,6,206,9
tune,213,101,1
poet,152,28,235
log,182,60,110
glad,3,98,204
them,213,101,1
kids,109,172,238
rest,6,206,9
copy,52,104,99
lips,182,60,110
deer,162,91,29
